,movie_title,imdb_score,cluster_KMeans
818,Captain Phillips,7.9,9
819,Date Night,6.3,12
820,Casper,6.0,6
821,The Equalizer,7.2,12
822,Maid in Manhattan,5.1,11
823,Crimson Tide,7.3,1
824,The Pursuit of Happyness,8.0,20
825,Flightplan,6.2,17
826,Disclosure,6.0,3
827,City of Angels,6.7,11
828,Kill Bill: Vol. 1,8.1,21
829,Bowfinger,6.4,6
830,Kill Bill: Vol. 2,8.0,21
831,Tango & Cash,6.3,12
832,Death Becomes Her,6.4,0
833,Shanghai Noon,6.6,15
834,Executive Decision,6.4,5
835,Mr. Popper's Penguins,6.0,6
836,The Forbidden Kingdom,6.6,5
837,Free Birds,5.9,8
838,Alien 3,6.4,21
839,Evita,6.3,4
840,Ronin,7.3,12
841,The Ghost and the Darkness,6.8,0
842,Paddington,7.2,8
843,The Watch,5.7,5
844,The Hunted,6.0,12
845,Instinct,6.5,3
846,Stuck on You,5.8,6
847,Semi-Pro,5.8,13
848,The Pirates! Band of Misfits,6.7,8
849,Changeling,7.8,21
850,Chain Reaction,5.6,5
851,The Fan,5.8,13
852,The Phantom of the Opera,7.4,4
853,Elizabeth: The Golden Age,6.9,1
854,Æon Flux,5.5,5
855,Gods and Generals,6.3,1
856,Turbulence,4.7,12
857,Imagine That,5.6,6
858,Muppets Most Wanted,6.4,4
859,Thunderbirds,4.2,5
860,Burlesque,6.4,4
861,A Very Long Engagement,7.7,1
862,Lolita,7.7,11
863,Eye See You,5.3,17
864,Blade II,6.7,0
865,Seven Pounds,7.7,11
866,Bullet to the Head,5.7,12
867,The Godfather: Part III,7.6,3
868,Elizabethtown,6.4,11
869,"You, Me and Dupree",5.6,11
870,Superman II,6.8,5
871,Gigli,2.4,6
872,All the King's Men,6.2,3
873,Shaft,5.9,12
874,Anastasia,7.1,4
875,Moulin Rouge!,7.6,4
876,Domestic Disturbance,5.5,17
877,Black Mass,7.0,20
878,Flags of Our Fathers,7.1,1
879,Law Abiding Citizen,7.4,12
880,Grindhouse,7.6,0
881,Beloved,5.9,20
882,Lucky You,5.9,13
883,Catch Me If You Can,8.0,21
884,Zero Dark Thirty,7.4,20
885,The Break-Up,5.8,11
886,Mamma Mia!,6.3,4
887,Valentine's Day,5.7,2
888,The Dukes of Hazzard,5.1,5
889,The Thin Red Line,7.6,1
890,The Change-Up,6.4,6
891,Man on the Moon,7.4,20
892,Casino,8.2,21
893,From Paris with Love,6.5,12
894,Bulletproof Monk,5.5,6
895,"Me, Myself & Irene",6.5,6
896,Barnyard,5.6,8
897,Deck the Halls,4.9,6
898,The Twilight Saga: New Moon,4.6,2
899,Shrek,7.9,8
900,The Adjustment Bureau,7.1,9
901,Robin Hood: Prince of Thieves,6.9,5
902,Jerry Maguire,7.3,13
903,Ted,7.0,9
904,As Good as It Gets,7.7,11
905,Patch Adams,6.7,20
906,Anchorman 2: The Legend Continues,6.3,6
907,Mr. Deeds,5.8,11
908,Super 8,7.1,21
909,Erin Brockovich,7.3,20
910,How to Lose a Guy in 10 Days,6.4,11
911,22 Jump Street,7.1,12
912,Interview with the Vampire: The Vampire Chronicles,7.6,0
913,Yes Man,6.8,11
914,Central Intelligence,6.6,12
915,Stepmom,6.7,3
916,Daddy's Home,6.1,6
917,Into the Woods,6.0,2
918,Inside Man,7.6,17
919,Payback,7.1,12
920,Congo,5.0,5
921,We Bought a Zoo,7.1,3
922,Knowing,6.2,17
923,Failure to Launch,5.6,2
924,The Ring Two,5.4,17
925,"Crazy, Stupid, Love.",7.4,2
926,Garfield,5.0,8
927,Christmas with the Kranks,5.2,6
928,Moneyball,7.6,2
929,Outbreak,6.6,12
930,Non-Stop,7.0,17
931,Race to Witch Mountain,5.7,5
932,V for Vendetta,8.2,9
933,Shanghai Knights,6.2,5
934,Curious George,6.6,8
935,Herbie Fully Loaded,4.7,13
936,Don't Say a Word,6.3,17
937,Hansel & Gretel: Witch Hunters,6.1,0
938,Unfaithful,6.7,3
939,I Am Number Four,6.1,5
940,Syriana,7.0,3
941,13 Hours,7.4,1
942,The Book of Life,7.3,8
943,Firewall,5.8,12
944,Absolute Power,6.7,21
945,G.I. Jane,5.8,1
946,The Game,7.8,21
947,Silent Hill,6.6,17
948,The Replacements,6.5,13
949,American Reunion,6.7,6
950,The Negotiator,7.3,17
951,Into the Storm,5.8,12
952,Beverly Hills Cop III,5.5,12
953,Gremlins 2: The New Batch,6.3,0
954,The Judge,7.4,3
955,The Peacemaker,5.9,12
956,Resident Evil: Apocalypse,6.2,0
957,Bridget Jones: The Edge of Reason,5.9,11
958,Out of Time,6.5,12
959,On Deadly Ground,4.4,5
960,The Adventures of Sharkboy and Lavagirl 3-D,3.5,5
961,The Beach,6.6,3
962,Raising Helen,6.0,11
963,Ninja Assassin,6.4,12
964,For Love of the Game,6.5,13
965,Striptease,4.3,12
966,Marmaduke,4.2,6
967,Hereafter,6.5,21
968,Murder by Numbers,6.1,17
969,Assassins,6.3,12
970,Hannibal Rising,6.2,12
971,The Story of Us,5.9,11
972,The Host,5.9,5
973,Basic,6.5,17
974,Blood Work,6.4,21
975,The International,6.5,17
976,Escape from L.A.,5.7,5
977,The Iron Giant,8.0,8
978,The Life Aquatic with Steve Zissou,7.3,3
979,Free State of Jones,6.7,1
980,The Life of David Gale,7.5,12
981,Man of the House,5.4,6
982,Run All Night,6.6,12
983,Eastern Promises,7.7,17
984,Into the Blue,5.8,12
985,The Messenger: The Story of Joan of Arc,6.4,1
986,Your Highness,5.6,2
987,Dream House,6.0,17
988,Mad City,6.2,12
989,Baby's Day Out,5.9,6
990,The Scarlet Letter,5.1,11
991,Fair Game,6.8,20
992,Domino,6.0,21
993,Jade,5.1,12
994,Gamer,5.8,5
995,Beautiful Creatures,6.2,11
996,Death to Smoochy,6.4,12
997,Zoolander 2,4.8,6
998,The Big Bounce,4.9,6
999,What Planet Are You From?,5.6,6
1000,Drive Angry,5.5,5
1001,Street Fighter: The Legend of Chun-Li,3.7,17
1002,The One,5.9,5
1003,The Adventures of Ford Fairlane,6.3,6
1004,Pirate Radio,7.4,3
1005,Traffic,7.6,12
1006,Indiana Jones and the Last Crusade,8.3,21
1007,Anna Karenina,6.6,11
1008,Chappie,6.9,12
1009,The Bone Collector,6.7,17
1010,Panic Room,6.8,21
1011,The Tooth Fairy,4.6,0
1012,Three Kings,7.1,1
1013,Child 44,6.4,12
1014,Rat Race,6.4,6
1015,K-PAX,7.4,17
1016,Kate & Leopold,6.4,11
1017,Bedazzled,6.0,11
1018,The Cotton Club,6.5,3
1019,3:10 to Yuma,7.8,15
1020,Taken 3,6.0,12
1021,Out of Sight,7.0,12
1022,The Cable Guy,6.0,3
1023,Earth,7.8,1
1024,Dick Tracy,6.1,12
1025,The Thomas Crown Affair,6.8,12
1026,Riding in Cars with Boys,6.4,20
1027,First Blood,7.7,5
1028,Solaris,8.1,17
1029,Happily N'Ever After,4.5,8
1030,Mary Reilly,5.8,0
1031,My Best Friend's Wedding,6.3,11
1032,America's Sweethearts,5.7,11
1033,Insomnia,7.2,21
1034,Star Trek: First Contact,7.6,5
1035,Jonah Hex,4.7,15
1036,Courage Under Fire,6.6,1
1037,Liar Liar,6.8,11
1038,The Infiltrator,7.3,20
1039,Inchon,2.7,1
1040,The Flintstones,4.8,6
1041,Taken 2,6.3,12
1042,Scary Movie 3,5.5,6
1043,Miss Congeniality,6.2,12
1044,Journey to the Center of the Earth,5.8,5
1045,The Princess Diaries 2: Royal Engagement,5.7,11
1046,The Pelican Brief,6.5,17
1047,The Client,6.7,17
1048,The Bucket List,7.4,3
1049,Patriot Games,6.9,12
1050,Monster-in-Law,5.5,11
1051,Prisoners,8.1,9
1052,Training Day,7.7,12
1053,Galaxy Quest,7.3,5
1054,Scary Movie 2,5.2,6
1055,The Muppets,7.1,4
1056,Blade,7.1,0
1057,Coach Carter,7.2,13
1058,Changing Lanes,6.5,3
1059,Anaconda,4.6,0
1060,Coyote Ugly,5.6,11
1061,Love Actually,7.7,11
1062,A Bug's Life,7.2,8
1063,From Hell,6.8,17
1064,The Specialist,5.4,12
1065,Tin Cup,6.3,13
1066,"Yours, Mine and Ours",7.2,6
1067,Kicking & Screaming,5.6,13
1068,The Hitchhiker's Guide to the Galaxy,6.8,5
1069,Fat Albert,4.3,6
1070,Resident Evil: Extinction,6.3,0
1071,Blended,6.5,11
1072,Last Holiday,6.4,3
1073,The River Wild,6.3,12
1074,The Indian in the Cupboard,5.9,3
1075,Savages,6.5,12
1076,Cellular,6.5,12
1077,Johnny English,6.1,6
1078,The Ant Bully,5.9,8
1079,Dune,6.6,5
1080,Across the Universe,7.4,4
1081,Revolutionary Road,7.3,2
1082,16 Blocks,6.6,12
1083,Babylon A.D.,5.6,5
1084,The Glimmer Man,5.3,12
1085,Multiplicity,6.0,11
1086,Aliens in the Attic,5.4,8
1087,The Pledge,6.8,17
1088,The Producers,6.4,4
1089,Dredd,7.1,5
1090,The Phantom,4.9,5
1091,All the Pretty Horses,5.8,15
1092,Nixon,7.1,20
1093,The Ghost Writer,7.2,17
1094,Deep Rising,6.0,5
1095,Miracle at St. Anna,6.0,1
1096,Curse of the Golden Flower,7.0,11
1097,Bangkok Dangerous,5.4,12
1098,Big Trouble,6.5,12
1099,Love in the Time of Cholera,6.4,11
1100,Shadow Conspiracy,4.9,12
1101,Johnny English Reborn,6.3,12
1102,Foodfight!,1.7,8
1103,Argo,7.7,20
1104,The Fugitive,7.8,17
1105,The Bounty Hunter,5.5,11
1106,Sleepers,7.5,12
1107,Rambo: First Blood Part II,6.4,1
1108,The Juror,5.6,3
1109,Pinocchio,7.5,4
1110,Heaven's Gate,6.8,15
1111,Underworld: Evolution,6.8,5
1112,Victor Frankenstein,6.0,0
1113,Finding Forrester,7.3,3
1114,28 Days,6.0,3
1115,Unleashed,7.0,12
1116,The Sweetest Thing,5.1,11
1117,The Firm,6.8,17
1118,Charlie St. Cloud,6.5,11
1119,The Mechanic,6.6,12
1120,21 Jump Street,7.2,9
1121,Notting Hill,7.0,11
1122,Chicken Run,7.0,8
1123,Along Came Polly,5.9,11
1124,Boomerang,5.4,11
1125,The Heat,6.6,12
1126,Cleopatra,7.0,20
1127,Here Comes the Boom,6.5,13
1128,High Crimes,6.3,17
1129,The Mirror Has Two Faces,6.5,11
1130,The Mothman Prophecies,6.5,17
1131,Brüno,5.8,6
1132,Licence to Kill,6.6,5
1133,Red Riding Hood,5.4,17
1134,15 Minutes,6.1,12
1135,Super Mario Bros.,4.0,5
1136,Lord of War,7.6,12
1137,Hero,7.9,5
1138,One for the Money,5.3,12
1139,The Interview,6.6,6
1140,The Warrior's Way,6.3,15
1141,Micmacs,7.2,12
1142,8 Mile,7.0,3
1143,Animal Kingdom: Let's go Ape,4.9,8
1144,A Knight's Tale,6.9,5
1145,The Medallion,5.2,6
1146,The Sixth Sense,8.1,9
1147,Man on a Ledge,6.6,12
1148,The Big Year,6.2,6
1149,The Karate Kid,7.2,13
1150,American Hustle,7.3,2
1151,The Proposal,6.7,11
1152,Double Jeopardy,6.4,17
1153,Back to the Future Part II,7.8,5
1154,Lucy,6.4,9
1155,Fifty Shades of Grey,4.1,9
1156,Spy Kids 3-D: Game Over,4.1,5
1157,A Time to Kill,7.4,12
1158,Cheaper by the Dozen,5.8,6
1159,Lone Survivor,7.6,1
1160,A League of Their Own,7.2,13
1161,The Conjuring 2,7.8,17
1162,The Social Network,7.7,21
1163,He's Just Not That Into You,6.4,11
1164,Scary Movie 4,5.1,6
1165,Scream 3,5.5,17
1166,Back to the Future Part III,7.4,15
1167,Get Hard,6.0,6
1168,Bram Stoker's Dracula,7.5,2
1169,Julie & Julia,7.0,20
1170,42,7.5,13
1171,The Talented Mr. Ripley,7.3,12
1172,Dumb and Dumber To,5.7,6
1173,Eight Below,7.3,3
1174,The Intern,7.2,3
1175,Ride Along 2,5.9,6
1176,The Last of the Mohicans,7.8,1
1177,Ray,7.7,20
1178,Sin City,8.1,9
1179,Vantage Point,6.6,17
1180,"I Love You, Man",7.1,11
1181,Shallow Hal,5.9,11
1182,JFK,8.0,20
1183,Big Momma's House 2,4.6,6
1184,The Mexican,6.1,2
1185,17 Again,6.4,11
1186,The Other Woman,6.0,11
1187,The Final Destination,5.2,2
1188,Bridge of Spies,7.6,21
1189,Behind Enemy Lines,6.4,1
1190,Get Him to the Greek,6.4,6
1191,Shall We Dance,6.1,11
1192,Small Soldiers,6.1,5
1193,Spawn,5.2,0
1194,The Count of Monte Cristo,7.7,5
1195,The Lincoln Lawyer,7.3,12
1196,Unknown,6.9,17
1197,The Prestige,8.5,2
1198,Horrible Bosses 2,6.3,6
1199,Escape from Planet Earth,5.9,8
1200,Apocalypto,7.8,5
1201,The Living Daylights,6.7,5
1202,Predators,6.4,5
1203,Legal Eagles,5.9,11
1204,Secret Window,6.6,17
1205,The Lake House,6.8,11
1206,The Skeleton Key,6.5,17
1207,The Odd Life of Timothy Green,6.6,6
1208,Made of Honor,5.8,11
1209,Jersey Boys,6.9,4
1210,The Rainmaker,7.1,12
1211,Gothika,5.8,17
1212,Amistad,7.2,2
1213,Medicine Man,6.0,11
1214,Aliens vs. Predator: Requiem,4.7,0
1215,Ri¢hie Ri¢h,5.2,6
1216,Autumn in New York,5.5,11
1217,Music and Lyrics,6.5,11
1218,Paul,7.0,5
1219,The Guilt Trip,5.8,3
1220,Scream 4,6.2,17
1221,8MM,6.5,17
1222,The Doors,7.2,4
1223,Sex Tape,5.1,6
1224,Hanging Up,4.7,6
1225,Final Destination 5,5.9,0
1226,Mickey Blue Eyes,5.8,11
1227,Pay It Forward,7.2,3
1228,Fever Pitch,6.2,13
1229,Drillbit Taylor,5.7,3
1230,A Million Ways to Die in the West,6.1,15
1231,The Shadow,6.0,17
1232,Extremely Loud & Incredibly Close,6.9,17
1233,Morning Glory,6.5,11
1234,Get Rich or Die Tryin',5.0,20
1235,The Art of War,5.7,12
1236,Rent,7.0,4
1237,Bless the Child,5.1,0
1238,The Out-of-Towners,5.3,6
1239,The Island of Dr. Moreau,4.4,0
1240,The Musketeer,4.7,5
1241,The Other Boleyn Girl,6.7,2
1242,Sweet November,6.7,11
1243,The Reaping,5.7,0
1244,Mean Streets,7.4,21
1245,Renaissance Man,6.1,3
1246,Colombiana,6.4,12
1247,The Magic Sword: Quest for Camelot,6.2,4
1248,City by the Sea,6.2,17
1249,At First Sight,5.9,11
1250,Torque,4.0,6
1251,City Hall,6.2,3
1252,Showgirls,4.6,3
1253,Marie Antoinette,6.4,20
1254,Kiss of Death,5.9,12
1255,Get Carter,5.1,12
1256,The Impossible,7.6,3
1257,Ishtar,4.2,5
1258,Fantastic Mr. Fox,7.8,8
1259,Life or Something Like It,5.8,11
1260,Memoirs of an Invisible Man,5.9,11
1261,Amélie,8.4,11
1262,New York Minute,4.8,6
1263,Alfie,6.2,11
1264,Big Miracle,6.5,20
1265,The Deep End of the Ocean,6.3,3
1266,Feardotcom,3.3,0
1267,Cirque du Freak: The Vampire's Assistant,5.9,5
1268,Duplex,5.8,6
1269,Soul Men,6.5,3
1270,Raise the Titanic,4.7,5
1271,Universal Soldier: The Return,4.1,5
1272,Pandorum,6.8,17
1273,Impostor,6.2,17
1274,Extreme Ops,4.5,5
1275,Just Visiting,5.8,6
1276,Sunshine,7.3,5
1277,A Thousand Words,5.9,3
1278,Delgo,4.4,8
1279,The Gunman,5.8,17
1280,Alex Rider: Operation Stormbreaker,5.1,5
1281,Disturbia,6.9,17
1282,Hackers,6.2,12
1283,The Hunting Party,6.9,1
1284,The Hudsucker Proxy,7.3,6
1285,The Warlords,7.1,1
1286,Nomad: The Warrior,6.0,1
1287,Snowpiercer,7.0,9
1288,A Monster in Paris,6.8,8
1289,The Last Shot,5.7,6
1290,The Crow,7.6,3
1291,Baahubali: The Beginning,8.4,1
1292,The Time Traveler's Wife,7.1,11
1293,Because I Said So,5.6,11
1294,The Fast and the Furious,6.7,12
1295,Frankenweenie,7.0,8
1296,Serenity,8.0,5
1297,Against the Ropes,5.3,13
1298,Superman III,4.9,5
1299,Grudge Match,6.4,13
1300,Red Cliff,7.4,1
1301,Sweet Home Alabama,6.1,11
1302,The Ugly Truth,6.5,11
1303,Sgt. Bilko,5.7,6
1304,Spy Kids 2: Island of Lost Dreams,5.1,5
1305,Star Trek: Generations,6.6,5
1306,The Grandmaster,6.5,20
1307,Water for Elephants,6.9,11
1308,Dragon Nest: Warriors' Dawn,6.4,8
1309,The Hurricane,7.6,13
1310,Enough,5.6,12
1311,Heartbreakers,6.2,11
1312,Paul Blart: Mall Cop 2,4.4,6
1313,Angel Eyes,5.6,11
1314,Joe Somebody,5.5,6
1315,The Ninth Gate,6.7,17
1316,Extreme Measures,6.1,17
1317,Rock Star,6.2,3
1318,Precious,7.3,3
1319,White Squall,6.6,3
1320,The Thing,8.2,17
1321,Riddick,6.4,5
1322,Switchback,6.4,17
1323,Texas Rangers,5.2,15
1324,City of Ember,6.5,5
1325,The Master,7.1,3
1326,Virgin Territory,4.8,6
1327,The Express,7.3,13
1328,The 5th Wave,5.2,5
1329,Creed,7.7,13
1330,The Town,7.6,12
1331,What to Expect When You're Expecting,5.7,11
1332,Burn After Reading,7.0,3
1333,Nim's Island,6.0,8
1334,Rush,8.1,13
1335,Magnolia,8.0,3
1336,Cop Out,5.6,12
1337,How to Be Single,6.1,11
1338,Dolphin Tale,6.9,3
1339,Twilight,5.2,2
1340,John Q,7.0,12
1341,Blue Streak,6.3,12
1342,We're the Millers,7.0,12
1343,Obitaemyy ostrov,5.3,5
1344,Breakdown,6.9,17
1345,Never Say Never Again,6.2,5
1346,Hot Tub Time Machine,6.4,6
1347,Dolphin Tale 2,6.4,3
1348,Reindeer Games,5.7,12
1349,A Man Apart,6.1,12
1350,Aloha,5.4,2
1351,Ghosts of Mississippi,6.7,20
1352,Snow Falling on Cedars,6.8,17
1353,The Rite,6.0,17
1354,Gattaca,7.8,3
1355,Isn't She Great,5.3,11
1356,Space Chimps,4.5,8
1357,Head of State,5.4,6
1358,The Hangover,7.8,9
1359,Ip Man 3,7.2,20
1360,Austin Powers: The Spy Who Shagged Me,6.6,12
1361,Batman,7.6,21
1362,There Be Dragons,5.9,1
1363,Lethal Weapon 3,6.7,12
1364,The Blind Side,7.7,13
1365,Spy Kids,5.4,5
1366,Horrible Bosses,6.9,12
1367,True Grit,7.7,15
1368,The Devil Wears Prada,6.8,11
1369,Star Trek: The Motion Picture,6.4,5
1370,Identity Thief,5.7,6
1371,Cape Fear,7.3,21
1372,21,6.8,12
1373,Trainwreck,6.3,11
1374,Guess Who,5.9,11
1375,The English Patient,7.4,1
1376,L.A. Confidential,8.3,17
1377,Sky High,6.2,5
1378,In & Out,6.3,6
1379,Species,5.8,0
1380,A Nightmare on Elm Street,7.5,0
1381,The Cell,6.3,0
1382,The Man in the Iron Mask,6.4,5
1383,Secretariat,7.2,13
1384,TMNT,6.3,8
1385,Radio,6.9,13
1386,Friends with Benefits,6.6,11
1387,Neighbors 2: Sorority Rising,6.0,6
1388,Saving Mr. Banks,7.5,20
1389,Malcolm X,7.7,20
1390,This Is 40,6.2,6
1391,Old Dogs,5.4,6
1392,Underworld: Rise of the Lycans,6.6,5
1393,License to Wed,5.3,11
1394,The Benchwarmers,5.6,13
1395,Must Love Dogs,5.9,11
1396,Donnie Brasco,7.8,20
1397,Resident Evil,6.7,0
1398,Poltergeist,7.4,0
1399,The Ladykillers,6.2,12
1400,Max Payne,5.4,17
1401,In Time,6.7,9
1402,The Back-up Plan,5.3,11
1403,Something Borrowed,5.9,11
1404,Black Knight,4.8,6
1405,The Bad News Bears,7.3,13
1406,Street Fighter,3.8,5
1407,The Pianist,8.5,1
1408,The Nativity Story,6.8,3
1409,House of Wax,5.3,0
1410,Closer,7.3,11
1411,J. Edgar,6.6,21
1412,Mirrors,6.2,17
1413,Queen of the Damned,5.2,0
1414,Predator 2,6.2,0
1415,Untraceable,6.2,12
1416,Blast from the Past,6.6,11
1417,Flash Gordon,6.4,5
1418,Jersey Girl,6.2,11
1419,Alex Cross,5.1,17
1420,Midnight in the Garden of Good and Evil,6.6,21
1421,Heist,6.1,12
1422,Nanny McPhee Returns,6.1,6
1423,Hoffa,6.6,20
1424,The X Files: I Want to Believe,5.9,17
1425,Ella Enchanted,6.3,11
1426,Concussion,7.1,13
1427,Abduction,5.0,17
1428,Valiant,5.6,8
1429,Wonder Boys,7.4,3
1430,Superhero Movie,4.5,5
1431,Broken City,6.2,12
1432,Cursed,5.0,0
1433,Premium Rush,6.5,12
1434,Hot Pursuit,5.1,6
1435,The Four Feathers,6.5,1
1436,Parker,6.2,12
1437,Wimbledon,6.3,13
1438,Furry Vengeance,3.8,6
1439,Bait,5.2,0
1440,Krull,6.0,5
1441,Lions for Lambs,6.2,1
1442,Flight of the Intruder,5.7,1
1443,Walk Hard: The Dewey Cox Story,6.7,6
1444,The Shipping News,6.8,3
1445,American Outlaws,6.0,15
1446,The Young Victoria,7.3,20
1447,Whiteout,5.5,17
1448,The Tree of Life,6.7,9
1449,Knock Off,4.8,6
1450,Sabotage,5.7,12
1451,The Order,5.1,17
1452,Punisher: War Zone,6.0,12
1453,Zoom,4.2,5
1454,The Walk,7.4,20
1455,Warriors of Virtue,4.6,5
1456,A Good Year,6.9,11
1457,Radio Flyer,6.9,3
1458,"Blood In, Blood Out",8.0,3
1459,Smilla's Sense of Snow,6.4,5
1460,Femme Fatale,6.3,17
1461,Lion of the Desert,8.4,1
1462,The Horseman on the Roof,7.1,1
1463,Ride with the Devil,6.8,15
1464,Biutiful,7.5,3
1465,The Lovers,4.5,5
1466,Bandidas,5.7,15
1467,The Maze Runner,6.8,17
1468,Unfinished Business,5.4,6
1469,The Age of Innocence,7.2,21
1470,The Fountain,7.3,3
1471,Chill Factor,5.2,5
1472,Stolen,5.5,12
1473,Ponyo,7.7,8
1474,The Longest Ride,7.1,11
1475,The Astronaut's Wife,5.3,5
1476,I Dreamed of Africa,5.6,11
1477,Playing for Keeps,5.7,13
1478,Mandela: Long Walk to Freedom,7.1,20
1479,Reds,7.5,20
1480,A Few Good Men,7.6,3
1481,Exit Wounds,5.5,12
1482,Big Momma's House,5.1,6
1483,Thunder and the House of Magic,6.3,8
1484,The Darkest Hour,4.9,5
1485,Step Up Revolution,6.5,11
1486,Snakes on a Plane,5.6,12
1487,The Watcher,5.3,17
1488,The Punisher,6.5,12
1489,Goal! The Dream Begins,6.8,13
1490,Safe,6.5,12
1491,Pushing Tin,6.0,11
1492,Star Wars: Episode VI - Return of the Jedi,8.4,9
1493,Doomsday,6.0,5
1494,The Reader,7.6,11
1495,Wanderlust,5.6,6
1496,Elf,6.9,2
1497,Phenomenon,6.4,11
1498,Snow Dogs,5.1,13
1499,Scrooged,7.0,3
1500,Nacho Libre,5.7,13
1501,Bridesmaids,6.8,11
1502,This Is the End,6.7,2
1503,Stigmata,6.2,0
1504,Men of Honor,7.2,20
1505,Takers,6.2,12
1506,The Big Wedding,5.6,6
1507,"Big Mommas: Like Father, Like Son",4.4,6
1508,Source Code,7.5,9
1509,Alive,7.1,20
1510,The Number 23,6.4,17
1511,The Young and Prodigious T.S. Spivet,7.1,5
1512,1941,5.9,21
1513,Dreamer: Inspired by a True Story,6.9,13
1514,A History of Violence,7.5,12
1515,Transporter 2,6.3,12
1516,The Quick and the Dead,6.4,15
1517,Laws of Attraction,5.9,11
1518,Bringing Out the Dead,6.8,21
1519,Repo Men,6.3,12
1520,Dragon Wars: D-War,3.6,0
1521,Bogus,5.3,6
1522,The Incredible Burt Wonderstone,5.9,6
1523,Cats Don't Dance,6.9,4
1524,Cradle Will Rock,6.9,3
1525,The Good German,6.1,17
1526,George and the Dragon,5.7,5
1527,Apocalypse Now,8.5,1
1528,Going the Distance,6.3,11
1529,Mr. Holland's Opus,7.3,3
1530,Criminal,6.3,17
1531,Out of Africa,7.2,20
1532,Flight,7.3,9
1533,Moonraker,6.3,5
1534,The Grand Budapest Hotel,8.1,9
1535,Hearts in Atlantis,6.9,17
1536,Arachnophobia,6.3,0
1537,Frequency,7.3,17
1538,Ghostbusters,5.5,9
1539,Vacation,6.1,6
1540,Get Shorty,6.9,12
1541,Chicago,7.2,4
1542,Big Daddy,6.4,3
1543,American Pie 2,6.4,6
1544,Toy Story,8.3,8
1545,Speed,7.2,12
1546,The Vow,6.8,11
1547,Extraordinary Measures,6.5,3
1548,Remember the Titans,7.8,13
1549,The Hunt for Red October,7.6,5
1550,Lee Daniels' The Butler,7.2,20
1551,Dodgeball: A True Underdog Story,6.7,13
1552,The Addams Family,6.8,6
1553,Ace Ventura: When Nature Calls,6.3,6
1554,The Princess Diaries,6.2,11
1555,The First Wives Club,6.2,6
1556,Se7en,8.6,21
1557,District 9,8.0,9
1558,The SpongeBob SquarePants Movie,7.0,8
1559,Mystic River,8.0,21
1560,Million Dollar Baby,8.1,21
1561,Analyze This,6.7,21
1562,The Notebook,7.9,11
1563,27 Dresses,6.1,11
1564,Hannah Montana: The Movie,4.2,11
1565,Rugrats in Paris: The Movie,6.1,8
1566,The Prince of Tides,6.6,11
1567,Legends of the Fall,7.5,15
1568,Up in the Air,7.4,11
1569,About Schmidt,7.2,3
1570,Warm Bodies,6.9,0
1571,Looper,7.4,9
1572,Down to Earth,5.4,6
1573,Babe,6.8,3
1574,Hope Springs,6.3,11
1575,Forgetting Sarah Marshall,7.2,11
1576,Four Brothers,6.9,17
1577,Baby Mama,6.0,11
1578,Hope Floats,5.9,11
1579,Bride Wars,5.4,11
1580,Without a Paddle,5.9,6
1581,13 Going on 30,6.1,11
1582,Midnight in Paris,7.7,21
1583,The Nut Job,5.8,8
1584,Blow,7.6,20
1585,Message in a Bottle,6.1,11
1586,Star Trek V: The Final Frontier,5.4,5
1587,Like Mike,5.1,13
1588,Naked Gun 33 1/3: The Final Insult,6.4,6
1589,A View to a Kill,6.3,5
1590,The Curse of the Were-Rabbit,7.5,8
1591,P.S. I Love You,7.1,11
1592,Racing Stripes,5.2,13
1593,Atonement,7.8,1
1594,Letters to Juliet,6.5,11
1595,Black Rain,6.6,12
1596,The Three Stooges,5.1,6
1597,Corpse Bride,7.4,4
1598,Glory Road,7.2,13
1599,Sicario,7.6,17
1600,Southpaw,7.5,13
1601,Drag Me to Hell,6.6,0
1602,The Age of Adaline,7.2,11
1603,Secondhand Lions,7.6,3
1604,Step Up 3D,6.2,11
1605,Blue Crush,5.6,13
1606,Stranger Than Fiction,7.6,11
1607,30 Days of Night,6.6,0
1608,The Cabin in the Woods,7.0,17
1609,Meet the Spartans,2.7,6
1610,Midnight Run,7.6,12
1611,The Running Man,6.6,12
1612,Little Shop of Horrors,6.9,4
1613,Hanna,6.8,12
1614,Mortal Kombat: Annihilation,3.7,5
1615,Larry Crowne,6.1,21
1616,Carrie,5.9,0
1617,Take the Lead,6.7,3
1618,Gridiron Gang,6.9,13
1619,What's the Worst That Could Happen?,5.5,6
1620,9,7.1,5
1621,Side Effects,7.1,12
1622,The Prince and Me,5.9,11
1623,Winnie the Pooh,7.3,4
1624,Dumb and Dumberer: When Harry Met Lloyd,3.4,6
1625,Bulworth,6.8,11
1626,Get on Up,6.9,20
1627,One True Thing,7.0,3
1628,Virtuosity,5.5,12
1629,My Super Ex-Girlfriend,5.1,11
1630,Deliver Us from Evil,6.2,17
1631,Sanctum,5.9,3
1632,Little Black Book,5.2,11
1633,The Five-Year Engagement,6.2,11
1634,Mr 3000,5.5,13
1635,The Next Three Days,7.4,12
1636,Ultraviolet,4.4,0
1637,Assault on Precinct 13,6.3,12
1638,The Replacement Killers,6.1,12
1639,Fled,5.3,12
1640,Eight Legged Freaks,5.4,0
1641,Love & Other Drugs,6.7,11
1642,88 Minutes,5.9,17
1643,North Country,7.3,3
1644,The Whole Ten Yards,5.5,12
